Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
6/3/2019,179449.49,29003.25,29122.81055,28938.39063,29037.59961,29037.59961,1794494900
7/3/2019,169199.33,28965.41992,29007.07031,28772.44922,28779.44922,28779.44922,1691993300
8/3/2019,299899.96,28409.14063,28533.75977,28201.08984,28228.41992,28228.41992,2998999600
11/3/2019,152553.48,28265.84961,28512.26953,28240.7793,28503.30078,28503.30078,1525534800
12/3/2019,0,28760.26953,28941.08984,28734.08984,28920.86914,28920.86914,0
13/3/2019,118309.09,28924.2793,28924.2793,28690.36914,28807.44922,28807.44922,1183090900
14/3/2019,139022.32,28891.06055,28932.4707,28696.31055,28851.39063,28851.39063,1390223200
15/3/2019,197456.91,28843.85938,29204.73047,28828.25977,29012.25977,29012.25977,1974569100
18/3/2019,188781.13,29112.43945,29409.00977,29034.13086,29409.00977,29409.00977,1887811300
19/3/2019,174765.72,29419.14063,29486.15039,29319.50977,29466.2793,29466.2793,1747657200
20/3/2019,158052.85,29357.18945,29435.81055,29251.25,29320.9707,29320.9707,1580528500
21/3/2019,175067.27,29387.75,29446.76953,29051.84961,29071.56055,29071.56055,1750672700
22/3/2019,174069.91,29173.33008,29243.09961,28847.33984,29113.35938,29113.35938,1740699100
25/3/2019,209112.19,28501.36914,28702.24023,28463.10938,28523.34961,28523.34961,2091121900
26/3/2019,140662.48,28677.75977,28701.59961,28435.06055,28566.91016,28566.91016,1406624800
27/3/2019,147553.66,28564.71094,28781.63086,28551.65039,28728.25,28728.25,1475536600
28/3/2019,158207.96,28663.19922,28816.58984,28558.80078,28775.21094,28775.21094,1582079600
29/3/2019,269522.3,28812.64063,29100.68945,28761.88086,29051.35938,29051.35938,2695223000
1/4/2019,247541.23,29383.7207,29612.36914,29383.7207,29562.01953,29562.01953,2475412300
2/4/2019,185846.65,29736.99023,29736.99023,29534.41992,29624.66992,29624.66992,1858466500
3/4/2019,201943.46,29785.26953,29999.33984,29715.76953,29986.39063,29986.39063,2019434600
4/4/2019,185446.75,29950.41992,30050.91016,29765.55078,29936.32031,29936.32031,1854467500
8/4/2019,232101.16,30119.58008,30185.06055,29913.61914,30077.15039,30077.15039,2321011600
9/4/2019,204935.4,30065.99023,30222.01953,30018.98047,30157.49023,30157.49023,2049354000
10/4/2019,181406.44,30052.26953,30139.60938,29892.61914,30119.56055,30119.56055,1814064400
11/4/2019,189715.42,30138.14063,30184.60938,29783.66992,29839.44922,29839.44922,1897154200
12/4/2019,156069.2,29806.34961,29909.75977,29694.84961,29909.75977,29909.75977,1560692000
15/4/2019,201063.82,30119.84961,30280.11914,29810.7207,29810.7207,29810.7207,2010638200
16/4/2019,254618.15,29754.30078,30142.85938,29665.10938,30129.86914,30129.86914,2546181500
17/4/2019,203514.73,30160.68945,30178.58008,30004.9707,30124.67969,30124.67969,2035147300
18/4/2019,156993.06,30088.65039,30101.83008,29896.85938,29963.25977,29963.25977,1569930600
23/4/2019,200622.64,29782.94922,30055.93945,29755.86914,29963.24023,29963.24023,2006226400
24/4/2019,174898.67,30112.18945,30112.18945,29682.86914,29805.83008,29805.83008,1748986700
25/4/2019,164448.32,29667.51953,29849.69922,29535.19922,29549.80078,29549.80078,1644483200
26/4/2019,141100.17,29513.08008,29672.78906,29504.14063,29605.00977,29605.00977,1411001700
29/4/2019,125071.72,29730.84961,29917.10938,29639.38086,29892.81055,29892.81055,1250717200
30/4/2019,135902.32,29828.15039,29855.75977,29620.44922,29699.10938,29699.10938,1359023200
2/5/2019,129890.66,29643.05078,29967.74023,29643.05078,29944.17969,29944.17969,1298906600
3/5/2019,121738.85,29818.48047,30081.55078,29678.85938,30081.55078,30081.55078,1217388500
6/5/2019,293406.58,29342.38086,29384.00977,28956.4707,29209.82031,29209.82031,2934065800
7/5/2019,199766.54,29313.58008,29480.03906,29156.44922,29363.01953,29363.01953,1997665400
